_id,leaf_label,pred,text
35,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"The only ""ID"" of the scammer I have is their Bitcoin account (mail claims to come from my own address)
1DwPNjUKiUi9HZNC3xAeKgfYX1D3ks1Gjt

Would it be helpful if I forward the scam mail to an address of yours?"
38,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"somebody claims that he installed Pegasus spy ware on my computers and smartphones and recorded some compromising videos which may be available to my all contacts on WhatsApp, Telegram, email etc.. if I do not transfer money to a Litecoin account within 48 hours."
34,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Classified-Ad-Phishing,"Thank you for looking into this. The problem I see here is the person sent the message from my own account.
Thank you for providing the help needed
Marcel"
31,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"Hi, my prey.This is my last warning.

I write you since I attached a tr ojan on the web site with porno which you have viewed. My troj an captured all your private data and switched on your camera which recorded the act of your solitary s ex. Just after that the t rojan saved your contact list. I will erase the compromising video records and info if you transfer $750 in bi tcoin.

This is address for payment: bc1q75p32fvf603grheeeawdl3skz2m6lhpfz9xk3r

I give you 24 hours after you open my message for making the payment. As soon as you read the message I'll see it right away. It is not necessary to tell me that you have sent money to me. This address is connected to you, my system will erased automatically after transfer confirmation.

If you need 42h just Open the calculator and type +,+

If you don't pay, I'll send dirt to all your contacts. Let me remind you - I see what you're doing. If you try to decieve me, I'll know it immediately. I don't live in your country. Bye. Don't forget about the shame and to ignore, your life can be ruined."
29,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"Hello, 
My mother’s email is hacked and they are blackmailing her into sending a big amount of money for nothing to happen. This email is the main email she has for banks, social media, work, my school, etc.
here is proof of the email"
36,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Support/Other-Fake-Support,The „Scammer“ is trying to press money from me. the Scammer said they have haked my Devices and installed A Spyware named Pegasus
226,Fraud/Fake-Sextortion/With-Password,Phishing/Classified-Ad-Phishing,"Subject: A b 0ut your p@ ssw0rd

H ell o.

I'll s kip the s ma ll t alk. I kn ow your p ass w0rd: Nikita_2011

A few mon ths ag o I in stalled a tr ojan on your dev ice. Sin ce then I've been wat ching ev erything you do.

I have c lips of you wat ching v ery pr ivate co ntent. I have your full co ntact li st. I will sh are them with ev eryone you kn ow if you d0n't pay.

Pric e: 850 USD in bi tcoin
Walle t: bc1qm2p7f8nk4xj3rd9hwytv6sql0eahbcz8ognfup
Dea dline: 24 hou rs

Y0u think t his is a sc am? Tr y me. You don't w ant to find out.

D0n't repl y. D0n't ch ange p ass words now (i've alr eady c0pied all of th em)."
10,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,I received a phone call at 19.31 on Thursday 16th August from +41 44 824 7111.  The caller claimed to be calling from Swisscom and that they have complaints from the banks about spam emails coming from my ip address.  They wanted to arrange an appointment tomorrow to help diagnose the issue on my computer.  I thanked them and said I would run my own scans and contact swisscom myself.
1,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,Call from a French speaking person telling me that my computer was sending her messages.Followed by other calls later on from the Police and from hidden phone number.My phone number : 0799384726 The malicious caller's number:+41 78 729 45 56
9,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,"I received a call today from +44.1268.709.559 (my phone identified the call as originating from ""Basildon, England, United Kingdom."") The caller explained he was from ""Windows Security Division"" and that there had been a lot of bad traffic originating from my computer (which is an iMac by the way). I told him I was going to report the number to the Swiss government, which I am doing now. As soon as I hung up I got another call, this time from Italy, from +39.346.249.8227. I assumed this was the same character, just changing his dialling info, so I did not answer the phone. I have since blocked both numbers on my device. Thank you -- John Smith"
