_id,leaf_label,pred,text
35,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Investment-Fraud/Other-Investment-Fraud,"The only ""ID"" of the scammer I have is their Bitcoin account (mail claims to come from my own address)
1DwPNjUKiUi9HZNC3xAeKgfYX1D3ks1Gjt

Would it be helpful if I forward the scam mail to an address of yours?"
38,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Malware/Ransomware,"somebody claims that he installed Pegasus spy ware on my computers and smartphones and recorded some compromising videos which may be available to my all contacts on WhatsApp, Telegram, email etc.. if I do not transfer money to a Litecoin account within 48 hours."
226,Fraud/Fake-Sextortion/With-Password,Phishing/Refund-Phishing,"Subject: A b 0ut your p@ ssw0rd

H ell o.

I'll s kip the s ma ll t alk. I kn ow your p ass w0rd: Nikita_2011

A few mon ths ag o I in stalled a tr ojan on your dev ice. Sin ce then I've been wat ching ev erything you do.

I have c lips of you wat ching v ery pr ivate co ntent. I have your full co ntact li st. I will sh are them with ev eryone you kn ow if you d0n't pay.

Pric e: 850 USD in bi tcoin
Walle t: bc1qm2p7f8nk4xj3rd9hwytv6sql0eahbcz8ognfup
Dea dline: 24 hou rs

Y0u think t his is a sc am? Tr y me. You don't w ant to find out.

D0n't repl y. D0n't ch ange p ass words now (i've alr eady c0pied all of th em)."
14,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,My elderly mother received a phone call from someone claiming to be from Swisscom technical support. They told her that her internet connection had been used for illegal activities and that she needed to pay 500 CHF in Neosurf vouchers to avoid prosecution. She bought the vouchers and gave them the codes before my brother intervened. The caller had a Swiss-German accent and knew her first name.
10,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,I received a phone call at 19.31 on Thursday 16th August from +41 44 824 7111.  The caller claimed to be calling from Swisscom and that they have complaints from the banks about spam emails coming from my ip address.  They wanted to arrange an appointment tomorrow to help diagnose the issue on my computer.  I thanked them and said I would run my own scans and contact swisscom myself.
0,Fraud/Fake-Support/Other-Fake-Support,Malware/Ransomware,"A security check from ""Microsoft"" wanted me to give him the access to my computer to get rid of some malware. The person had a strong Indian/Asian accent, was very forceful and even downright rude trying to press me to follow his instructions. I was supposed to immediately install a remote access in his favour, at which point I sent him to blazes (the scam was at that moment too obvious). Anyone else would have complied as the person was very insistent. Quite a cunning scanner. As mentioned before, Microsoft (or another tech company) would NEVER CALL DIRECTLY ITS CUSTOMER."
9,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,"I received a call today from +44.1268.709.559 (my phone identified the call as originating from ""Basildon, England, United Kingdom."") The caller explained he was from ""Windows Security Division"" and that there had been a lot of bad traffic originating from my computer (which is an iMac by the way). I told him I was going to report the number to the Swiss government, which I am doing now. As soon as I hung up I got another call, this time from Italy, from +39.346.249.8227. I assumed this was the same character, just changing his dialling info, so I did not answer the phone. I have since blocked both numbers on my device. Thank you -- John Smith"
199,Fraud/Fake-Support/Popup,Malware/Ransomware,"I received an alarm on my laptop to say a security threat had been detected and to call technical support immediately. They said I had no anti virus installed and I needed to immediately order a CCleaner Pro. He gave me his name and ID number. He explained I had a network worm and he needed access remotely. I gave him this and put my credit card details into the site to buy the cleaner, after pressing the padlock symbol to show that I was the only one to be able to view this info. They had access to my laptop for hours whilst I was busy with my students and I was on the phone to them also for hours. I have a few photos and a video to share if necessary."
59,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"https://bytesi.vip

My friend contacted me to ask if I want to invest in a platform that returns 3% on investment per day.

I realized she is being scammed by the ponzi scheme organization. I explained to her it's dangerous and not to invite more people.

These people seem to operate for the last couple of months intensively, and based on the stories it could be running for 2 years, but I think the stories could be misleading.

The schema is international.

Do you have some suggestions how to report this, maybe point me to the correct authorities for this matter?

Thanks!"
43,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"Hello 

I am reporting criminal acts,and  have been defrauded by a website and its managers operating in Grand Lance, called boostyflow.com. I have been extorted out of my personal money over $7700 CAD. This is a trading website, they persuade you to invest money with the help of a manager.In my case his name is: Eric Daniel( email address: Eric-daniel @boostyflow.com).I invested with him on my account in boostyflow, the amount of profit reached 36kUSD. 

I asked to take my money and  close the account, Eric agreed and he said the money had to be transferred to a crypto wallet at crypto.com, I opened up a wallet there.He then instructed me to do the transfers to crypto currency, I did that. Then he had an accomplice named Mike take over on the phone, then the money disappeared and did not show in my wallet.I suspect he had the money transferred to his personal wallet.I asked Eric to give me back my money, that I invested, he said it's in the crypto blockchain and I had to put in more money to cover the eth gas fees, another $5k from my personal account. I did not believe him. And that's the status as of now. I have supporting email chain from Eric and crypto.com to support my case.I can forward these as required. I would like crypto.com and Boostyflow investigated as I believe they are both fraudulent sites, and there must be many people getting scammed from these entities as I did. Any assistance would be greatly appreciated.Please let me know if there is anything else required.

Thankyou"
57,Fraud/Investment-Fraud/Other-Investment-Fraud,Phishing/Vishing/Other-Vishing,"This number is calling me everyday and is being very pushy about an investment opportunity and does not take no for an answer. Somehow he managed to call at my work looking for me 

It is a Swiss number +41766668898"
53,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"I invested 250 USD in a trading platform called TPM finance, alledgedly based at Kriesbachstrasse 30, 8600 Dübendorf. I was contacted by an advisor by the name of Thomas Angelo, who proceeded to set up trades on my account. 

After a few weeks  the trading account showed a profit of about 100 USD. The advisor tried to get me to add more money into my account, which, luckily, I refused. When I tried to withdraw the profit, nothing happened. I tried several times to no avail. When I questioned the advisor about it, he became evasive and said he didn't know why it didn't work.

I have since found out via ChatGPT that this site is a scam. I realise that I should have done this before I invested money, my bad. In future I will be more careful."
58,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"When I invested in this company before, the company withheld my funds because I did not pay enough. Now after I paid off the money owed to this company, the company insisted they didn't receive it, even though I have transaction records on hand as proof"
49,Fraud/Investment-Fraud/Pig-Butchering,Fraud/Investment-Fraud/Other-Investment-Fraud,"Hi. There were actually two fraudulent crypto platforms which were introduced to me. 1. awaves.top 2. dswt-coin.com. In total I have lost about 11.5k$ on both platforms combined. It started with women i met on tinder and we talked about stuff and at some point they (there were two separate women) introduced me to these platforms. It seemed like everything was going well until when the coins were suppose to go public, the platform started mentioning taxes 20% on the profits earned before you can actually start selling these coins. So I didn’t put any further money and now one of the platform is gone (awaves.top) and the other one seems to work on some days and not on some."
188,Fraud/Investment-Fraud/Pig-Butchering,Fraud/Investment-Fraud/Other-Investment-Fraud,"I got contacted by a user on Snapchat presenting herself as Chinese and Thai. Username is ailin20247042. After a discussion she guided me through creating a crypto wallet on the MetaMask application. She then guided me to a website and asked to send Ethereum to an address. Address required to login the app though MetaMask which allowed them to check my balance. I used an empty brand new wallet and didn't send anything, but people could be tricked, the website is dangerous."
186,Fraud/Investment-Fraud/Pig-Butchering,Fraud/Investment-Fraud/Other-Investment-Fraud,"I was contacted on WhatsApp by a women to go to crypto. com. Her name is Marissa Morgan, nickname Luck! I did install the app crypto.com as she demanded.  Now the woman asked me to transfer money. She build up my trust over  three months.  I downloaded the black Exchange app from crypto.com and she told me to download another app called Onchain whee she she send me the below link and invitation and access to their special wallet.  And then I started transforming money, in total 170.000 CHF. Now I found out it was a scam. What can I do ?"
98,Phishing/Other-Phishing,Phishing/Parcel-Notification-Phishing,"I would like to report a phishing attempt.

Phone number: +49 15510 085907

Platform: WhatsApp

The sender contacted me with a suspicious message containing a link impersonating a legitimate service (Tripadvisor / Booking).

Phishing link:

https://tripadvisor.de-booking-invitation.link/PropertyRental-g6094219/en/543341515

The link appears to be fraudulent and designed to steal personal or financial information.

I was asked to make a bank transfer to:

NAME: Maria Encarnacion Sanchez Perez

IBAN: ES64 2100 6449 1602 0019 5464

BIC: CAIXESBBXXX

BANK: CAIXABANK, S.A.

ADDRESS: DIAGONAL 621 8028 BARCELONA. SPAIN


I received this message via WhatsApp.

Please investigate and take appropriate action."
69,Phishing/Other-Phishing,Phishing/Refund-Phishing,"I received a text message from the  number +63 912 199 94038.

I was told that I must pay a fine before 29. September 2025, otherwise I could lose my driver's license.

The link, which I did not click on is:
https://stadt-zuerichab.help/ch-de

To open the link, I am asked to answer 'Ja"" or to copy the link into my browser."
