text,language,old_label,lvl1,lvl2,lvl3,leaf_label,path
"A security check from ""Microsoft"" wanted me to give him the access to my computer to get rid of some malware. The person had a strong Indian/Asian accent, was very forceful and even downright rude trying to press me to follow his instructions. I was supposed to immediately install a remote access in his favour, at which point I sent him to blazes (the scam was at that moment too obvious). Anyone else would have complied as the person was very insistent. Quite a cunning scanner. As mentioned before, Microsoft (or another tech company) would NEVER CALL DIRECTLY ITS CUSTOMER.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
Call from a French speaking person telling me that my computer was sending her messages.Followed by other calls later on from the Police and from hidden phone number.My phone number : 0799384726 The malicious caller's number:+41 78 729 45 56,en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Caller said he was from Microsoft, about a problem with my computer. I asked why he thought I was that stupid to believe that crap and he said ""because you are..."", confirming it was a scam.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Fake support calls from the spoofed numbers:
0449400635",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Hello, around 15 employees received today around noon a ""fake microsoft support"" call at Groupama, talking in English and telling that they is some vulnerabilities on computer. a few numbers that were displayed: +3225162068, +3244265945,+3230461199",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Hello,The scammer used the following number: +353 84 166 13 38Pretending to call from a Microsoft Call center Best regards",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Hi,
I guy with an Indian accent called me and he claimed to call from Microsoft. 
He was explaining that they have noticed based on ""computer ID"" or something that my Windows laptop had been hacked and that the hackers had accessed it several times over the past few days. 
I listened for a while, but then I told him that I am a professional and asked him to get another not a scammer job and that scamming people is not nice thing to do. I also told that I will report his call to the authorities (happening now). 

The call was coming from the number +41 79 8744445, but obviously, that is not the correct number. 

It would be interesting to know how much these calls come here in Switzerland and how much the operators and officials can do to stop these.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"I got a call from +41 78 933 96 98 offering me support for my Windows computer, according to the caller my windows got hacked - I don’t use windows",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
I got a call from a woman saying that my computer had been hacked and it was sending out warning signals. They said that they would help me step by step to stop my computer from sending out these warning messages. The number that called me was 0792102053,en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"I received a call today from +44.1268.709.559 (my phone identified the call as originating from ""Basildon, England, United Kingdom."") The caller explained he was from ""Windows Security Division"" and that there had been a lot of bad traffic originating from my computer (which is an iMac by the way). I told him I was going to report the number to the Swiss government, which I am doing now. As soon as I hung up I got another call, this time from Italy, from +39.346.249.8227. I assumed this was the same character, just changing his dialling info, so I did not answer the phone. I have since blocked both numbers on my device. Thank you -- John Smith",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
I received a phone call at 19.31 on Thursday 16th August from +41 44 824 7111.  The caller claimed to be calling from Swisscom and that they have complaints from the banks about spam emails coming from my ip address.  They wanted to arrange an appointment tomorrow to help diagnose the issue on my computer.  I thanked them and said I would run my own scans and contact swisscom myself.,en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"I was browsing the internet when a pop-up appeared saying my computer was infected and I had to call Microsoft immediately at 0800 123 456. I called and a man with a foreign accent asked me to install a remote access tool called AnyDesk. He then showed me my ""infected"" system files and asked for 250 CHF to clean the computer. I paid by credit card before realizing it was a scam.",en,Fake-Support,Fraud,Fake-Support,Popup,Fraud/Fake-Support/Popup,"['Fraud', 'Fake-Support', 'Popup']"
I was called through a Milan phone number (+39 02 3952 9067) claiming to be from Microsoft and claiming someone has keylogged my computer. I disconnected the call after they tried to get my to open anydesk to enable them to hack my computer,en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Microsoft scam caller, trying to gain access to my laptop. Very aggressive and with ‘Indian’ accent. Had details of my name and MS license..",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
My elderly mother received a phone call from someone claiming to be from Swisscom technical support. They told her that her internet connection had been used for illegal activities and that she needed to pay 500 CHF in Neosurf vouchers to avoid prosecution. She bought the vouchers and gave them the codes before my brother intervened. The caller had a Swiss-German accent and knew her first name.,en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Received two phone calls from below numbers claiming to be Microsoft employees:
+33696440941
+41795410863",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"Scammers using a VOiP Nummber calling from India with an Italian nummber, claiming that they are Microsoft. Tried to get an Remote Accsess to my Computer. Called 2 times, every time with an Different nummbers and they deactivated the nummber imidiatley after the call.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"The caller identified himself as a Microsoft Support representative. He spoke in English and it was obvious that he was Indian because of his accent. Call occurred on August 26, 2024 09:02 local time.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"The website prompted the user to call this number: 0445860339 According to the website, it's the number of the Swiss Microsoft Support. The website displays a message that says: 
Starten sie Ihre PC nicht neu. Der Computer is deaktiviert. Bitte rufen sie den Support an. 
The website also automatically sets the browser into full screen, and displays multiple fake Window's popups warning about spyware.",en,Fake-Support,Fraud,Fake-Support,Popup,Fraud/Fake-Support/Popup,"['Fraud', 'Fake-Support', 'Popup']"
"call from +41 78 917 99 00
said they were from Microsoft and that my PC downloads keyloggers. when asked for more details they ended the call. however, they knew my name.",en,Fake-Support,Fraud,Fake-Support,Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,"['Fraud', 'Fake-Support', 'Other-Fake-Support']"
"-----Ursprüngliche Nachricht-----
Von: dcu822qj <ebert.felipa@backups.vrbmarketing.com> 
Gesendet: Dienstag, 15. Juni 2021 18:49
An: Silvia schumacher <schumacher@rph.ch>
Betreff: Re: Important information about your account: schumacher@rph.ch

Good afternoon! 

You can examine a complete list of the needed documents here as one document: 


jamestown.psychwebmd.com/prof--avery-hegmann/hilty-78.zip

Hello! This is important information for you! Some months ago I hacked your OS and got full access to your account bsb@lds.net.ua On day of hack your account schumacher@rph.ch has password: reu2283 So, you can change the password, yes.. Or already changed... But my malware intercepts it every time. How I made it: In the software of the router, through which you went online, was a vulnerability. I used it... If you interested you can read about it: CVE-2019-1663 - a vulnerability in the web-based management interface of the Cisco routers. I just hacked this router and placed my malicious code on it. When you went online, my trojan was installed on the OS of your device. After that, I made a full backup of your disk (I have all your address book, history of viewing sites, all files, phone numbers and addresses of all your contacts). A month ago, I wanted to lock your device and ask for a not big amount of btc to unlock. But I looked at the sites that you regularly visit, and I was shocked by what I saw!!! I'm talk you about sites for adults. I want to say - you are a BIG pervert. Your fantasy is shifted far away from the normal course! And I got an idea.... I made a screenshot of the adult sites where you have fun (do you understand what it is about, huh?). After that, I made a screenshot of your joys (using the camera of your device) and glued them together. Turned out amazing! You are so spectacular! I'm know that you would not like to show these screenshots to your friends, relatives or colleagues. I think $763 is a very, very small amount for my silence. Besides, I have been spying on you for so long, having spent a lot of time! Pay ONLY in Bitcoins! My BTC wallet: 1MJne4rgeirTYxCwC81nJHPqox7DSsCMoe You do not know how to use bitcoins? Enter a query in any search engine: ""how to replenish btc wallet"". It's extremely easy For this payment I give you two days (48 hours). As soon as this letter is opened, the timer will work. After payment, my virus and dirty screenshots with your enjoys will be self-destruct automatically. If I do not receive from you the specified amount, then your device will be locked, and all your contacts will receive a screenshots with your ""enjoys"". I hope you understand your situation. - Do not try to find and destroy my virus! (All your data, files and screenshots is already uploaded to a remote server) - Do not try to contact me (you yourself will see that this is impossible, the sender address is automatically generated) - Various security services will not help you; formatting a disk or destroying a device will not help, since your data is already on a remote server. P.S. You are not my single victim. so, I guarantee you that I will not disturb you again after payment! This is the word of honor hacker I also ask you to regularly update your antiviruses in the future. This way you will no longer fall into a similar situation. Do not hold evil! I just good do my job. Good luck.",en,Fake-sextortion,Fraud,Fake-Sextortion,With-Password,Fraud/Fake-Sextortion/With-Password,"['Fraud', 'Fake-Sextortion', 'With-Password']"
"Dear Sir or Madam,

Please find attached a form of unsolicited cyber-attack, that shows falsely self-sent and received email from and to me through my e-mail account. I would kindly ask you to log these cyber-attacks. Thank you in advance for sincere understanding.

With kind regards, Mit freundlichem Gruß,

Edourd Hasac
+41782324587",en,Fake-sextortion,Fraud,Fake-Sextortion,Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,"['Fraud', 'Fake-Sextortion', 'Other-Fake-Sextortion']"
"Do I need to be worried when I receive e-mails that supposedly were sent from my own e-mail account like this?

Thank you.

Kind regards
Claudia Waser

Sent from my iPhone

Begin forwarded message:

From: Claudia Waser
Date: 1 August 2024 at 4:19:09 PM GMT+2
To: reports@antiphishing.ch
Subject: Fwd: Your personal data has leaked due to suspected harmful activities.

﻿ Anbei eine Phishing E-Mail.

Vielen Dank.

Freundliche Grüsse
Claudia Waser

Sent from my iPhone

Begin forwarded message:

From: Claudia.Waser@hotmail.com
Date: 31 July 2024 at 6:03:17 AM GMT+2
To: Claudia.Waser@hotmail.com
Subject: Your personal data has leaked due to suspected harmful activities.

﻿
Hi,

I am a hacker, and I have successfully gained access to your operating system.
I also have full access to your account.

I've been watching you for a few months now.

The fact is that your computer has been infected with malware through an adult site that you visited.
If you are not familiar with this, I will explain.
Trojan Virus gives me full access and control over a computer or other device.
This means that I can see everything on your screen, turn on the camera and microphone, but you do not know about it.
I also have access to all your contacts and all your correspondence.

Why did your antivirus not detect malware?
Answer: The malware I used is driver-based, I update its signatures every 4 hours. Hence your antivirus is unable to detect its presence.
I made a video showing how you satisfy yourself in the left half of the screen, and the right half shows the video you were watching at the time.

With one mouse click, I can send this video to all your emails and contacts on your social networks.
I can also make public all your e-mail correspondence and chat history on the messengers that you use.

If you don't want this to happen, transfer $1190 in Bitcoin equivalent to my Bitcoin address (if you do not know how to do this, just search ""buy bitcoin"" on Google).

My Bitcoin address (BTC Wallet) is: 1B6Jd9XCedy4zE8PFZRfnpuK4yHYk5Xke1

After confirming your payment, I will delete the video immediately, and that's it. You will never hear from me again.
I will give you 50 hours (more than 2 days) to pay. I will get a notice, when you open this email, and the timer will start.
Filing a complaint somewhere does not make sense because this email cannot be tracked like my Bitcoin address.

I never make any mistakes.
If I find that you have shared this message with someone else, the video will be immediately distributed.

Best regards!",en,Fake-sextortion,Fraud,Fake-Sextortion,Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,"['Fraud', 'Fake-Sextortion', 'Other-Fake-Sextortion']"
Email claiming they accesed my camera and contacts. Blackmailing me with “recordings” of me and my home that will allegedly be sent to all my contacts,en,Fake-sextortion,Fraud,Fake-Sextortion,Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,"['Fraud', 'Fake-Sextortion', 'Other-Fake-Sextortion']"
