_id,leaf_label,pred,text
35,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Investment-Fraud/Other-Investment-Fraud,"The only ""ID"" of the scammer I have is their Bitcoin account (mail claims to come from my own address)
1DwPNjUKiUi9HZNC3xAeKgfYX1D3ks1Gjt

Would it be helpful if I forward the scam mail to an address of yours?"
34,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Classified-Ad-Phishing,"Thank you for looking into this. The problem I see here is the person sent the message from my own account.
Thank you for providing the help needed
Marcel"
28,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Hello, 

I've received again an email with the same content as last week. This time it came from a different email address and it has a PDF attachment which I didn't open. In the email message it writes my name, full home addrress and telephone number. I have blocked the sender, but it seems they will keep sending me emails. How many more should I expect?"
29,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/With-Password,"Hello, 
My mother’s email is hacked and they are blackmailing her into sending a big amount of money for nothing to happen. This email is the main email she has for banks, social media, work, my school, etc.
here is proof of the email"
226,Fraud/Fake-Sextortion/With-Password,Phishing/Refund-Phishing,"Subject: A b 0ut your p@ ssw0rd

H ell o.

I'll s kip the s ma ll t alk. I kn ow your p ass w0rd: Nikita_2011

A few mon ths ag o I in stalled a tr ojan on your dev ice. Sin ce then I've been wat ching ev erything you do.

I have c lips of you wat ching v ery pr ivate co ntent. I have your full co ntact li st. I will sh are them with ev eryone you kn ow if you d0n't pay.

Pric e: 850 USD in bi tcoin
Walle t: bc1qm2p7f8nk4xj3rd9hwytv6sql0eahbcz8ognfup
Dea dline: 24 hou rs

Y0u think t his is a sc am? Tr y me. You don't w ant to find out.

D0n't repl y. D0n't ch ange p ass words now (i've alr eady c0pied all of th em)."
216,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/Other-Fake-Sextortion,"Dear julesou@bluemail.ch,



I regret to inform you that there has been a security breach involving the devices you use for internet browsing.



Several months ago, unauthorized access was gained to these devices, allowing me to monitor your internet activity. Recently, I managed to hack your email accounts, including your password: MArcel2342.



Furthermore, a Trojan virus has been installed on all devices you use to access email. This was made possible due to your clicking on links from emails in your mailbox, which facilitated my penetration into your systems. Through this malicious software, I gained access to various features of your devices, such as the microphone, video camera, and keyboard. Additionally, I extracted and stored your personal information, data, photos, and web browsing history on my servers. Moreover, I gained access to your messengers, social networks, email, chat history, and contact list.



To remain undetected, my virus continuously updates its signatures, making it invisible to antivirus software.



During my investigation, I discovered that you frequently visit adult websites and view explicit content. I managed to record your intimate moments and create a montage showcasing them. If you doubt the authenticity of my claims, I can easily share these videos with your friends, colleagues, and relatives, or even make them publicly accessible.



I am convinced that it is in your best interest to prevent the disclosure of this information, given the potential consequences. Therefore, I propose the following solution: transfer $500 USD to my Bitcoin wallet (details provided below), based on the exchange rate at the time of the transaction. After the transfer is completed, all compromising information will be immediately deleted. After this, I will deactivate and remove the malicious software from your devices.



You can be assured that I will uphold my end of the agreement.



Bitcoin wallet: bc1q770895668ysry2l0ezqgjg2cax5e62u6k9vmg0



You have 48 hours. As soon as you open this email, I will receive a notification, and from that moment on, the countdown begins.



If you've never dealt with cryptocurrencies before, it's quite simple. Just type ""cryptocurrency exchange"" into a search engine, and you're good to go.



Please refrain from the following actions:



Replying to this email, as it was created in your mailbox and contains the sender's address.

Contacting the police or other security services. Discussing this situation with friends may lead to immediate public disclosure of the videos.

Attempting to identify me. All cryptocurrency transactions are anonymous.

Reinstalling the operating system or disposing of devices, as the videos are already stored on remote servers.

You need not worry about the following:



Receiving your funds transfer. My malicious program continuously monitors your actions.

Disseminating your videos after the funds transfer is completed. I have no intention of complicating your life further.

Finally, I strongly advise you to avoid similar situations in the future. Regularly change all your passwords to enhance online security."
14,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,My elderly mother received a phone call from someone claiming to be from Swisscom technical support. They told her that her internet connection had been used for illegal activities and that she needed to pay 500 CHF in Neosurf vouchers to avoid prosecution. She bought the vouchers and gave them the codes before my brother intervened. The caller had a Swiss-German accent and knew her first name.
10,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,I received a phone call at 19.31 on Thursday 16th August from +41 44 824 7111.  The caller claimed to be calling from Swisscom and that they have complaints from the banks about spam emails coming from my ip address.  They wanted to arrange an appointment tomorrow to help diagnose the issue on my computer.  I thanked them and said I would run my own scans and contact swisscom myself.
0,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Popup,"A security check from ""Microsoft"" wanted me to give him the access to my computer to get rid of some malware. The person had a strong Indian/Asian accent, was very forceful and even downright rude trying to press me to follow his instructions. I was supposed to immediately install a remote access in his favour, at which point I sent him to blazes (the scam was at that moment too obvious). Anyone else would have complied as the person was very insistent. Quite a cunning scanner. As mentioned before, Microsoft (or another tech company) would NEVER CALL DIRECTLY ITS CUSTOMER."
57,Fraud/Investment-Fraud/Other-Investment-Fraud,Phishing/Vishing/Other-Vishing,"This number is calling me everyday and is being very pushy about an investment opportunity and does not take no for an answer. Somehow he managed to call at my work looking for me 

It is a Swiss number +41766668898"
53,Fraud/Investment-Fraud/Other-Investment-Fraud,Fraud/Investment-Fraud/Pig-Butchering,"I invested 250 USD in a trading platform called TPM finance, alledgedly based at Kriesbachstrasse 30, 8600 Dübendorf. I was contacted by an advisor by the name of Thomas Angelo, who proceeded to set up trades on my account. 

After a few weeks  the trading account showed a profit of about 100 USD. The advisor tried to get me to add more money into my account, which, luckily, I refused. When I tried to withdraw the profit, nothing happened. I tried several times to no avail. When I questioned the advisor about it, he became evasive and said he didn't know why it didn't work.

I have since found out via ChatGPT that this site is a scam. I realise that I should have done this before I invested money, my bad. In future I will be more careful."
49,Fraud/Investment-Fraud/Pig-Butchering,Fraud/Investment-Fraud/Other-Investment-Fraud,"Hi. There were actually two fraudulent crypto platforms which were introduced to me. 1. awaves.top 2. dswt-coin.com. In total I have lost about 11.5k$ on both platforms combined. It started with women i met on tinder and we talked about stuff and at some point they (there were two separate women) introduced me to these platforms. It seemed like everything was going well until when the coins were suppose to go public, the platform started mentioning taxes 20% on the profits earned before you can actually start selling these coins. So I didn’t put any further money and now one of the platform is gone (awaves.top) and the other one seems to work on some days and not on some."
