_id,leaf_label,pred,text
35,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"The only ""ID"" of the scammer I have is their Bitcoin account (mail claims to come from my own address)
1DwPNjUKiUi9HZNC3xAeKgfYX1D3ks1Gjt

Would it be helpful if I forward the scam mail to an address of yours?"
38,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"somebody claims that he installed Pegasus spy ware on my computers and smartphones and recorded some compromising videos which may be available to my all contacts on WhatsApp, Telegram, email etc.. if I do not transfer money to a Litecoin account within 48 hours."
34,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Thank you for looking into this. The problem I see here is the person sent the message from my own account.
Thank you for providing the help needed
Marcel"
28,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Hello, 

I've received again an email with the same content as last week. This time it came from a different email address and it has a PDF attachment which I didn't open. In the email message it writes my name, full home addrress and telephone number. I have blocked the sender, but it seems they will keep sending me emails. How many more should I expect?"
31,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Vishing/Other-Vishing,"Hi, my prey.This is my last warning.

I write you since I attached a tr ojan on the web site with porno which you have viewed. My troj an captured all your private data and switched on your camera which recorded the act of your solitary s ex. Just after that the t rojan saved your contact list. I will erase the compromising video records and info if you transfer $750 in bi tcoin.

This is address for payment: bc1q75p32fvf603grheeeawdl3skz2m6lhpfz9xk3r

I give you 24 hours after you open my message for making the payment. As soon as you read the message I'll see it right away. It is not necessary to tell me that you have sent money to me. This address is connected to you, my system will erased automatically after transfer confirmation.

If you need 42h just Open the calculator and type +,+

If you don't pay, I'll send dirt to all your contacts. Let me remind you - I see what you're doing. If you try to decieve me, I'll know it immediately. I don't live in your country. Bye. Don't forget about the shame and to ignore, your life can be ruined."
29,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Hello, 
My mother’s email is hacked and they are blackmailing her into sending a big amount of money for nothing to happen. This email is the main email she has for banks, social media, work, my school, etc.
here is proof of the email"
25,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Greetings, This is Aylin Gökhan Kılıçcı from Turkey. I am receiving blackmail emails from your country through an email address created by my name and when I check the IP it shows your country which is 185.70.40.132 To sum up the situation: Someone created this e-mail with my name and surname ( yaseAylinGökhanKılıçcıminguntan@protonmail.com) for blackmailing me by using my ""naked"" photos created by AI, deepfake, and they are asking payment from me. Otherwise, they are threatening me to sending these photos to all of my contacts, my social media. If required i can forward you these emails for your reference. I attached the screenshots of emails. Kindly ask your cooperation for blocking this. This is harassment, abuse and i, as a 27 years old and married woman, being threatened by someone who seems to be located in your country. I am devastated by these threats and this is my life the point of topic. I know that i won't be able to find the real IP or sender, I just ask you to do what you can do to stop this, end this. According to their threats, i have less than 24 hours. Please, i am really helpless right now. Thank you for your time and help in advance."
39,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Malware/Ransomware,someone sent me an email saying they installed a malware and will share porn videos. In the email they shared my email / my phone number and an address where I lived 5 years ago. The only thing I am a bit worried is that I have a lot of pictures of my 8 months old daughter on the phone.
36,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Vishing/Callback-Scam,The „Scammer“ is trying to press money from me. the Scammer said they have haked my Devices and installed A Spyware named Pegasus
21,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Parcel-Notification-Phishing,"Dear Sir or Madam,

Please find attached a form of unsolicited cyber-attack, that shows falsely self-sent and received email from and to me through my e-mail account. I would kindly ask you to log these cyber-attacks. Thank you in advance for sincere understanding.

With kind regards, Mit freundlichem Gruß,

Edourd Hasac
+41782324587"
226,Fraud/Fake-Sextortion/With-Password,Phishing/Vishing/Other-Vishing,"Subject: A b 0ut your p@ ssw0rd

H ell o.

I'll s kip the s ma ll t alk. I kn ow your p ass w0rd: Nikita_2011

A few mon ths ag o I in stalled a tr ojan on your dev ice. Sin ce then I've been wat ching ev erything you do.

I have c lips of you wat ching v ery pr ivate co ntent. I have your full co ntact li st. I will sh are them with ev eryone you kn ow if you d0n't pay.

Pric e: 850 USD in bi tcoin
Walle t: bc1qm2p7f8nk4xj3rd9hwytv6sql0eahbcz8ognfup
Dea dline: 24 hou rs

Y0u think t his is a sc am? Tr y me. You don't w ant to find out.

D0n't repl y. D0n't ch ange p ass words now (i've alr eady c0pied all of th em)."
216,Fraud/Fake-Sextortion/With-Password,Phishing/Parcel-Notification-Phishing,"Dear julesou@bluemail.ch,



I regret to inform you that there has been a security breach involving the devices you use for internet browsing.



Several months ago, unauthorized access was gained to these devices, allowing me to monitor your internet activity. Recently, I managed to hack your email accounts, including your password: MArcel2342.



Furthermore, a Trojan virus has been installed on all devices you use to access email. This was made possible due to your clicking on links from emails in your mailbox, which facilitated my penetration into your systems. Through this malicious software, I gained access to various features of your devices, such as the microphone, video camera, and keyboard. Additionally, I extracted and stored your personal information, data, photos, and web browsing history on my servers. Moreover, I gained access to your messengers, social networks, email, chat history, and contact list.



To remain undetected, my virus continuously updates its signatures, making it invisible to antivirus software.



During my investigation, I discovered that you frequently visit adult websites and view explicit content. I managed to record your intimate moments and create a montage showcasing them. If you doubt the authenticity of my claims, I can easily share these videos with your friends, colleagues, and relatives, or even make them publicly accessible.



I am convinced that it is in your best interest to prevent the disclosure of this information, given the potential consequences. Therefore, I propose the following solution: transfer $500 USD to my Bitcoin wallet (details provided below), based on the exchange rate at the time of the transaction. After the transfer is completed, all compromising information will be immediately deleted. After this, I will deactivate and remove the malicious software from your devices.



You can be assured that I will uphold my end of the agreement.



Bitcoin wallet: bc1q770895668ysry2l0ezqgjg2cax5e62u6k9vmg0



You have 48 hours. As soon as you open this email, I will receive a notification, and from that moment on, the countdown begins.



If you've never dealt with cryptocurrencies before, it's quite simple. Just type ""cryptocurrency exchange"" into a search engine, and you're good to go.



Please refrain from the following actions:



Replying to this email, as it was created in your mailbox and contains the sender's address.

Contacting the police or other security services. Discussing this situation with friends may lead to immediate public disclosure of the videos.

Attempting to identify me. All cryptocurrency transactions are anonymous.

Reinstalling the operating system or disposing of devices, as the videos are already stored on remote servers.

You need not worry about the following:



Receiving your funds transfer. My malicious program continuously monitors your actions.

Disseminating your videos after the funds transfer is completed. I have no intention of complicating your life further.

Finally, I strongly advise you to avoid similar situations in the future. Regularly change all your passwords to enhance online security."
3,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Popup,"Fake support calls from the spoofed numbers:
0449400635"
19,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,"call from +41 78 917 99 00
said they were from Microsoft and that my PC downloads keyloggers. when asked for more details they ended the call. however, they knew my name."
14,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,My elderly mother received a phone call from someone claiming to be from Swisscom technical support. They told her that her internet connection had been used for illegal activities and that she needed to pay 500 CHF in Neosurf vouchers to avoid prosecution. She bought the vouchers and gave them the codes before my brother intervened. The caller had a Swiss-German accent and knew her first name.
2,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,"Caller said he was from Microsoft, about a problem with my computer. I asked why he thought I was that stupid to believe that crap and he said ""because you are..."", confirming it was a scam."
10,Fraud/Fake-Support/Other-Fake-Support,Phishing/Parcel-Notification-Phishing,I received a phone call at 19.31 on Thursday 16th August from +41 44 824 7111.  The caller claimed to be calling from Swisscom and that they have complaints from the banks about spam emails coming from my ip address.  They wanted to arrange an appointment tomorrow to help diagnose the issue on my computer.  I thanked them and said I would run my own scans and contact swisscom myself.
0,Fraud/Fake-Support/Other-Fake-Support,Malware/Ransomware,"A security check from ""Microsoft"" wanted me to give him the access to my computer to get rid of some malware. The person had a strong Indian/Asian accent, was very forceful and even downright rude trying to press me to follow his instructions. I was supposed to immediately install a remote access in his favour, at which point I sent him to blazes (the scam was at that moment too obvious). Anyone else would have complied as the person was very insistent. Quite a cunning scanner. As mentioned before, Microsoft (or another tech company) would NEVER CALL DIRECTLY ITS CUSTOMER."
6,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,"Hi,
I guy with an Indian accent called me and he claimed to call from Microsoft. 
He was explaining that they have noticed based on ""computer ID"" or something that my Windows laptop had been hacked and that the hackers had accessed it several times over the past few days. 
I listened for a while, but then I told him that I am a professional and asked him to get another not a scammer job and that scamming people is not nice thing to do. I also told that I will report his call to the authorities (happening now). 

The call was coming from the number +41 79 8744445, but obviously, that is not the correct number. 

It would be interesting to know how much these calls come here in Switzerland and how much the operators and officials can do to stop these."
1,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,Call from a French speaking person telling me that my computer was sending her messages.Followed by other calls later on from the Police and from hidden phone number.My phone number : 0799384726 The malicious caller's number:+41 78 729 45 56
17,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Callback-Scam,"The caller identified himself as a Microsoft Support representative. He spoke in English and it was obvious that he was Indian because of his accent. Call occurred on August 26, 2024 09:02 local time."
