seed,model,condition,example_id,true_leaf,pred_leaf,snap_reason,elapsed_s,raw_len,prompt_eval_count,eval_count,done_reason,raw_response
0,gemma4:26b,0a,0,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Other-Phishing,exact,2.753192901611328,23,320,8,stop,Phishing/Other-Phishing
0,gemma4:26b,0a,1,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.5713968276977539,43,305,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,2,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Other-Phishing,substring_last,0.4270939826965332,14,288,5,stop,Other-Phishing
0,gemma4:26b,0a,3,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Other-Phishing,exact,0.47869205474853516,23,335,8,stop,Phishing/Other-Phishing
0,gemma4:26b,0a,4,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.6474170684814453,43,537,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,5,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.5780172348022461,43,312,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,6,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.650827169418335,43,539,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,7,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.58620285987854,43,319,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,8,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.5563478469848633,43,285,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,9,Fraud/Fake-Sextortion/Other-Fake-Sextortion,Phishing/Other-Phishing,exact,0.4840090274810791,23,341,8,stop,Phishing/Other-Phishing
0,gemma4:26b,0a,10,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5663390159606934,35,446,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,11,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.6228299140930176,35,581,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,12,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5695369243621826,35,377,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,13,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.5539660453796387,43,285,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,14,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5074779987335205,35,272,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,15,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.549710750579834,35,424,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,16,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5935730934143066,35,505,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,17,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5210320949554443,35,279,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,18,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/With-Password,exact,0.5120000839233398,35,297,12,stop,Fraud/Fake-Sextortion/With-Password
0,gemma4:26b,0a,19,Fraud/Fake-Sextortion/With-Password,Fraud/Fake-Sextortion/Other-Fake-Sextortion,exact,0.7904062271118164,43,898,16,stop,Fraud/Fake-Sextortion/Other-Fake-Sextortion
0,gemma4:26b,0a,20,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,exact,0.5235641002655029,30,275,11,stop,Phishing/Vishing/Other-Vishing
0,gemma4:26b,0a,21,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,exact,0.5202121734619141,37,304,12,stop,Fraud/Fake-Support/Other-Fake-Support
0,gemma4:26b,0a,22,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,exact,0.5170118808746338,30,333,11,stop,Phishing/Vishing/Other-Vishing
0,gemma4:26b,0a,23,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,exact,0.512653112411499,37,295,12,stop,Fraud/Fake-Support/Other-Fake-Support
0,gemma4:26b,0a,24,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,exact,0.5346810817718506,37,352,12,stop,Fraud/Fake-Support/Other-Fake-Support
0,gemma4:26b,0a,25,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,exact,0.5425488948822021,37,373,12,stop,Fraud/Fake-Support/Other-Fake-Support
0,gemma4:26b,0a,26,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,exact,0.551332950592041,30,433,11,stop,Phishing/Vishing/Other-Vishing
0,gemma4:26b,0a,27,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,exact,0.5232429504394531,30,324,11,stop,Phishing/Vishing/Other-Vishing
0,gemma4:26b,0a,28,Fraud/Fake-Support/Other-Fake-Support,Fraud/Fake-Support/Other-Fake-Support,exact,0.515251874923706,37,303,12,stop,Fraud/Fake-Support/Other-Fake-Support
0,gemma4:26b,0a,29,Fraud/Fake-Support/Other-Fake-Support,Phishing/Vishing/Other-Vishing,exact,0.5449090003967285,30,423,11,stop,Phishing/Vishing/Other-Vishing
0,gemma4:26b,0a,30,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Popup,exact,0.49628496170043945,24,338,8,stop,Fraud/Fake-Support/Popup
0,gemma4:26b,0a,31,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Popup,exact,0.49564075469970703,24,368,8,stop,Fraud/Fake-Support/Popup
0,gemma4:26b,0a,32,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Popup,exact,0.5077786445617676,24,403,8,stop,Fraud/Fake-Support/Popup
0,gemma4:26b,0a,33,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Popup,exact,0.48842406272888184,24,329,8,stop,Fraud/Fake-Support/Popup
0,gemma4:26b,0a,34,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Popup,exact,0.5335237979888916,24,462,8,stop,Fraud/Fake-Support/Popup
0,gemma4:26b,0a,35,Fraud/Fake-Support/Popup,Fraud/Fake-Support/Other-Fake-Support,exact,0.5485491752624512,37,397,12,stop,Fraud/Fake-Support/Other-Fake-Support
